code;name;city;phone;NIF;dob;mail;password;username;gender;salary;photo
0;Viviana;Lima;932356564;127823784;26-07-2002;vivi@gmail.com;123;Vivi;female;1500;123
1;Gustavo;Porto;987654312;1451346;23-05-2001;sdfbnb@gmail.com;nn;Gus;0;2000;678
11;as;123123;123123;1232132;2021-05-21;123121;1;as;other;0;12312
12;Rita;Lisboa;23829837;12312;2021-05-31;g;123;Rita;female;0;123
15;Rute;Viseu;93465712;12412312;2095-08-23;rute@gmail.com;2;Rute;female;0;132
16;Filipe;Lisboa;234567;234567;2098-05-08;filipe@gmail.com;c%*#h!(I;Filipe;male;0;C:/Users/Asus-Pc/OneDrive/Ambiente de Trabalho/Universidade/2 semestre/PC II/Avilux2/Images/001-user.png
17;Ricardo;Lima;934651232;7608329012;2096-05-10;ricardoqueiroz@sapo.pt;DQ8{:q>o;Ricardo;male;0;1
18;Maria;Sintra;967542391;1221231241324;2098-09-24;maria@gmail.com;%w|ox./k;Maria;female;0;1
19;Tiago;Matosinhos;9725361728;14234;2099-05-14;tiago@gmail.com;\TWl"'B5;Tiago;other;0;1
20;António;Amorosa;941625321;14233236;2097-03-13;antonio@gmail.com;d6uVuRBS;António;male;0;3
21;Antonio;Lisboa;95628192;123456;2002-05-17;Antoio@gmail.com;jP@tvPx$;Antonio;male;0;1
22;Rute;Lisboa;92426671;345367632;2003-05-16;rute@gmail.com;12345678;Rute;female;0;C:/Users/Asus-Pc/OneDrive/Ambiente de Trabalho/Universidade/2 semestre/PC II/Avilux2/Images/foto curriculo.jpg
23;Ricardo;Lisboa;93781798173;8765434253;2001-05-18;Ricardo@gmail.com;123;Ricardo;male;0;C:/Users/Asus-Pc/OneDrive/Ambiente de Trabalho/Universidade/2 semestre/PC II/Avilux2/Images/w3schools.jpg
24;Paula;Porto;9876546753;2345678;2001-05-11;paula@gmail.com;123;Paulo;female;0;C:/Users/Asus-Pc/OneDrive/Ambiente de Trabalho/Universidade/2 semestre/PC II/Avilux2/Images/details-1-background.jpg
25;Eduardo;Porto;98268179;213456521;2003-07-17;eduardo@gmail.com;123;Eduardo;male;0;C:/Users/Asus-Pc/OneDrive/Ambiente de Trabalho/Universidade/2 semestre/PC II/Avilux2/Images/w3schools.jpg
