code;name;city;phone;NIF;dob;mail;password;username;gender
0;Viviana;Lima;932356564;127823784;26-07-2002;vivi@gmail.com;123;Vivi;female
1;Gustavo;Porto;987654312;1451346;23-05-2001;sdfbnb@gmail.com;nn;Gus;male
3;Rodrigo;Zinde;987654312;12435146;23-05-2001;sdfbn32@gmail.com;2003;Digo;male
4;Gonçalo;Porto;938492843;123;25-05-2021;123@gmail.com;1232;123212;male
5;José;Viana;912829123;123;25-05-2021;123@outlook.com;0;1234;male
6;Pedro;Algarve;923729123;123;25-05-2021;123@gmail.com;123;123;male
7;Dinis;Coruna;923243432;123456;25-05-2021;dinis@outlook.com;123;Di;male
8;António;Porto;929391821;1324;24-01-2002;toninho21@gmail.com;1245;tonio;male
9;Joana;Lima;928392839;1234223;30-02-1998;jonhy@gmail.com;123421;jonhy;female
10;João;Lanhoso;980765242;645634634;2095-08-17;joao@gmail.com;123;Jon;male
11;as;123123;123123;1232132;2021-05-21;123121;1;as;other
12;Rita;Lisboa;23829837;12312;2021-05-31;g;123;Rita;female
13;Jorge;12312;123245;123;2021-05-31;123;1;jo;female
14;Paulo;Lagos;124132123124;124342132;2021-05-31;paulo@hotmail.com;1;Paulo;other
15;Rute;Viseu;93465712;12412312;2095-08-23;rute@gmail.com;2;Rute;female
16;Filipe;Lisboa;234567;234567;2098-05-08;filipe@gmail.com;c%*#h!(I;Filipe;male
17;Ricardo;Lima;934651232;7608329012;2096-05-10;ricardoqueiroz@sapo.pt;DQ8{:q>o;Ricardo;male
18;Maria;Sintra;967542391;1221231241324;2098-09-24;maria@gmail.com;%w|ox./k;Maria;female
19;Tiago;Matosinhos;9725361728;14234;2099-05-14;tiago@gmail.com;\TWl"'B5;Tiago;other
20;António;Amorosa;941625321;14233236;2097-03-13;antonio@gmail.com;d6uVuRBS;António;male
21;Antonio;Lisboa;95628192;123456;2002-05-17;Antoio@gmail.com;jP@tvPx$;Antonio;male
22;Rute;Lisboa;92426671;345367632;2003-05-16;rute@gmail.com;12345678;Rute;female
23;Ricardo;Lisboa;93781798173;8765434253;2001-05-18;Ricardo@gmail.com;123;Ricardo;male
24;Paula;Porto;9876546753;2345678;2001-05-11;paula@gmail.com;123;Paulo;female
25;Eduardo;Porto;98268179;213456521;2003-07-17;eduardo@gmail.com;123;Eduardo;male
